"filename", "language", "JSON", "JavaScript", "SCSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\.eslintrc.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\.prettierrc", "JSON", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 3, 5
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\env.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\package-lock.json", "JSON", 25910, 0, 0, 0, 0, 0, 1, 25911
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\package.json", "JSON", 99, 0, 0, 0, 0, 0, 1, 100
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\proxy\rules.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\server.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\actions\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\bootstrap.js", "JavaScript", 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\app.js", "JavaScript", 0, 121, 0, 0, 0, 11, 22, 154
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\auth\login.js", "JavaScript", 0, 72, 0, 0, 0, 1, 17, 90
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\blog\blog-featured-image.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\blog\blog-form.js", "JavaScript", 0, 159, 0, 0, 0, 9, 21, 189
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\blog\blog-item.js", "JavaScript", 0, 39, 0, 0, 0, 16, 10, 65
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\forms\rich-text-editor.js", "JavaScript", 0, 207, 0, 0, 0, 14, 9, 230
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\modals\blog-modal.js", "JavaScript", 0, 39, 0, 0, 0, 1, 6, 46
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\navigation\navigation-container.js", "JavaScript", 0, 79, 0, 0, 0, 2, 18, 99
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\about.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\auth.js", "JavaScript", 0, 35, 0, 0, 0, 4, 17, 56
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\blog-detail.js", "JavaScript", 0, 80, 0, 0, 0, 13, 16, 109
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\blog.js", "JavaScript", 0, 115, 0, 0, 0, 16, 22, 153
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\contact.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\home.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\nomatch.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\portfolio-detail.js", "JavaScript", 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\pages\portfolio-manager.js", "JavaScript", 0, 89, 0, 0, 0, 11, 14, 114
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\portfolio\ImageDropzone.js", "JavaScript", 0, 104, 0, 0, 0, 12, 15, 131
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\portfolio\portfolio-container.js", "JavaScript", 0, 73, 0, 0, 0, 7, 23, 103
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\portfolio\portfolio-form.js", "JavaScript", 0, 236, 0, 0, 0, 0, 28, 264
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\portfolio\portfolio-item.js", "JavaScript", 0, 42, 0, 0, 0, 7, 13, 62
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\components\portfolio\portfolio-sidebar-list.js", "JavaScript", 0, 44, 0, 0, 0, 0, 6, 50
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\helpers\icons.js", "JavaScript", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\reducers\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\auth.scss", "SCSS", 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\base.scss", "SCSS", 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\blog-form.scss", "SCSS", 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\blog.scss", "SCSS", 0, 0, 94, 0, 0, 10, 15, 119
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\button.scss", "SCSS", 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\forms.scss", "SCSS", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\grid.scss", "SCSS", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\image-dropzone.scss", "SCSS", 0, 0, 81, 0, 0, 11, 12, 104
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\loaders.scss", "SCSS", 0, 0, 4, 0, 0, 1, 1, 6
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\main.scss", "SCSS", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\mixins.scss", "SCSS", 0, 0, 43, 0, 0, 1, 6, 50
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\modals.scss", "SCSS", 0, 0, 4, 0, 0, 1, 1, 6
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\navigation.scss", "SCSS", 0, 0, 64, 0, 0, 0, 21, 85
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\nomatch.scss", "SCSS", 0, 0, 46, 0, 0, 0, 7, 53
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\portfolio-form.scss", "SCSS", 0, 0, 22, 0, 0, 0, 4, 26
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\portfolio-manager.scss", "SCSS", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\portfolio-sidebar-list.scss", "SCSS", 0, 0, 68, 0, 0, 0, 16, 84
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\portfolio.scss", "SCSS", 0, 0, 50, 0, 0, 0, 11, 61
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\react-draft-wysiwyg.scss", "SCSS", 0, 0, 1016, 0, 0, 10, 2, 1028
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\rich-text-editor.scss", "SCSS", 0, 0, 36, 0, 0, 3, 2, 41
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\style\variables.scss", "SCSS", 0, 0, 7, 0, 0, 2, 2, 11
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\src\vendor.js", "JavaScript", 0, 3, 0, 0, 0, 2, 3, 8
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\static\assets\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 3, 6
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\static\index.html", "HTML", 0, 0, 0, 15, 0, 2, 4, 21
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\webpack\common.config.js", "JavaScript", 0, 39, 0, 0, 0, 1, 8, 48
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\webpack\dev.config.js", "JavaScript", 0, 77, 0, 0, 0, 1, 17, 95
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\webpack\postcss.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\villa\Desktop\html-css\Full-stack\Proyectos\React\isra-react-portfolio\webpack\prod.config.js", "JavaScript", 0, 115, 0, 0, 0, 1, 10, 126
"Total", "-", 26010, 1910, 1668, 15, 5, 170, 458, 30236